ISSN,ISSN_L,TITLE,TITLE_SOURCE,year_flipped,title,issn_type,period,year_active_since_str,year_active_since
0001-3714,0001-3714,Revista de Microbiologia,DOAJ,1998,Revista de Microbiologia,issn_print,1.1970 - 30.1999,1970 -,1970
0001-3765,0001-3765,Anais da Academia Brasileira de Ciências,DOAJ,2000,Anais da Academia Brasileira de Ciências,issn_print,Nachgewiesen 72.2000 -,2000 -,2000
0001-3765,0001-3765,Anais da Academia Brasileira de Ciências,DOAJ,2000,Anais da Academia Brasileira de Ciências,issn_print,1.1929 -,1929 -,1929
1678-2690,0001-3765,Anais da Academia Brasileira de Ciências,DOAJ,2000,Anais da Academia Brasileira de Ciências,issn_e,Nachgewiesen 72.2000 -,2000 -,2000
1678-2690,0001-3765,Anais da Academia Brasileira de Ciências,DOAJ,2000,Anais da Academia Brasileira de Ciências,issn_e,1.1929 -,1929 -,1929
0001-494X,0001-494X,ACME,DOAJ,2014,ACME,issn_print,1.1948 -,1948 -,1948
0001-494X,0001-494X,ACME,DOAJ,2014,ACME,issn_print,Nachgewiesen 48.1995 -,1995 -,1995
1898-0295,0001-5296,Acta Biologica Cracoviensia Series Botanica,DOAJ,2010,Acta Biologica Cracoviensia Series Botanica,issn_e,Nachgewiesen 38.1996 -,1996 -,1996
1651-2057,0001-5555,Acta Dermato-Venereologica,DOAJ,1998,Acta Dermato-Venereologica,issn_e,Nachgewiesen 26.1946 -,1946 -,1946
1651-2057,0001-5555,Acta Dermato-Venereologica,DOAJ,1998,Acta Dermato-Venereologica,issn_e,"1.1920 - 96.2016,7",1920 -,1920
0001-5555,0001-5555,Acta Dermato-Venereologica,DOAJ,1998,Acta Dermato-Venereologica,issn_print,Nachgewiesen 26.1946 -,1946 -,1946
0001-5555,0001-5555,Acta Dermato-Venereologica,DOAJ,1998,Acta Dermato-Venereologica,issn_print,"1.1920 - 96.2016,7",1920 -,1920
0001-6977,0001-6977,Acta Societatis Botanicorum Poloniae,DOAJ,2011,Acta Societatis Botanicorum Poloniae,issn_print,1.1923 -,1923 -,1923
0001-6977,0001-6977,Acta Societatis Botanicorum Poloniae,DOAJ,2011,Acta Societatis Botanicorum Poloniae,issn_print,Nachgeweisen 58.1989 -,1989 -,1989
0002-0397,0002-0397,Africa Spectrum,DOAJ,2009,Africa Spectrum,issn_print,[1.]1966 - [7.]1972; 8.1973 -,1973 -,1973
0002-0397,0002-0397,Africa Spectrum,DOAJ,2009,Africa Spectrum,issn_print,1.1966 -,1966 -,1966
1868-6869,0002-0397,Africa Spectrum,DOAJ,2009,Africa Spectrum,issn_e,[1.]1966 - [7.]1972; 8.1973 -,1973 -,1973
1868-6869,0002-0397,Africa Spectrum,DOAJ,2009,Africa Spectrum,issn_e,1.1966 -,1966 -,1966
0003-3219,0003-3219,Angle Orthodontist,DOAJ,2004,Angle Orthodontist,issn_print,1.1931 -,1931 -,1931
0003-3219,0003-3219,Angle Orthodontist,DOAJ,2004,Angle Orthodontist,issn_print,1.1931 -,1931 -,1931
0003-9438,0003-9438,Archives Animal Breeding,DOAJ,1999,Archives Animal Breeding,issn_print,1.1958 - 55.2012; 58.2015 -,2015 -,2015
0004-0592,0004-0592,Archivos de Zootecnia,DOAJ,1975,Archivos de Zootecnia,issn_print,1.1952 - 61.2012; auch mit durchgehender Nr.-Zählung,1952 -,1952
1848-6312,0004-1254,Arhiv za Higijenu Rada i Toksikologiju,DOAJ,2007,Arhiv za Higijenu Rada i Toksikologiju,issn_e,7.1956 -,1956 -,1956
1848-6312,0004-1254,Arhiv za Higijenu Rada i Toksikologiju,DOAJ,2007,Arhiv za Higijenu Rada i Toksikologiju,issn_e,Nachgewiesen 49.1998 -,1998 -,1998
1678-2925,0004-2749,Arquivos Brasileiros de Oftalmologia,DOAJ,2001,Arquivos Brasileiros de Oftalmologia,issn_e,Nachgewiesen 59.1996 -,1996 -,1996
1678-2925,0004-2749,Arquivos Brasileiros de Oftalmologia,DOAJ,2001,Arquivos Brasileiros de Oftalmologia,issn_e,1.1938 -,1938 -,1938
0004-2749,0004-2749,Arquivos Brasileiros de Oftalmologia,DOAJ,2001,Arquivos Brasileiros de Oftalmologia,issn_print,Nachgewiesen 59.1996 -,1996 -,1996
0004-2749,0004-2749,Arquivos Brasileiros de Oftalmologia,DOAJ,2001,Arquivos Brasileiros de Oftalmologia,issn_print,1.1938 -,1938 -,1938
1678-4227,0004-282X,Arquivos de Neuro-Psiquiatria,DOAJ,2000,Arquivos de Neuro-Psiquiatria,issn_e,Nachgewiesen 56.1998 -,1998 -,1998
1678-4227,0004-282X,Arquivos de Neuro-Psiquiatria,DOAJ,2000,Arquivos de Neuro-Psiquiatria,issn_e,1.1943 -,1943 -,1943
0004-282X,0004-282X,Arquivos de Neuro-Psiquiatria,DOAJ,2000,Arquivos de Neuro-Psiquiatria,issn_print,Nachgewiesen 56.1998 -,1998 -,1998
0004-282X,0004-282X,Arquivos de Neuro-Psiquiatria,DOAJ,2000,Arquivos de Neuro-Psiquiatria,issn_print,1.1943 -,1943 -,1943
0004-2927,0004-2927,Ars Pharmaceutica,DOAJ,2002,Ars Pharmaceutica,issn_print,1.1960 - 49.2008,1960 -,1960
0004-2927,0004-2927,Ars Pharmaceutica,DOAJ,2002,Ars Pharmaceutica,issn_print,Nachgewiesen 36.1995 -,1995 -,1995
0006-2294,0006-2294,"Bijdragen tot de Taal-, Land- en Volkenkunde",DOAJ,2013,"Bijdragen tot de Taal-, Land- en Volkenkunde",issn_print,105.1949 -,1949 -,1949
0006-2294,0006-2294,"Bijdragen tot de Taal-, Land- en Volkenkunde",DOAJ,2013,"Bijdragen tot de Taal-, Land- en Volkenkunde",issn_print,1.1853 - 4.1855/56; N.Volgr. 1.1856 - 8.1864; 3.Volgr. 1.1866 - 12.1876; 4.Volgr. 1.1877 - 10.1885; 5.Volgr. 1=35.1886 - 10=44.1894; 6.Volgr. 1=45.1895 - 10=54.1902; 7.Volgr. 1=55.1903 - 10=64.1910; 65.1911 -,1911 -,1911
0006-2294,0006-2294,"Bijdragen tot de Taal-, Land- en Volkenkunde",DOAJ,2013,"Bijdragen tot de Taal-, Land- en Volkenkunde",issn_print,Urheberrechtsfreie Bände digitalisiert oder im Digitalisierungsprozess 1.1853 - 4.1855/56; N.Volgr. 4.1862; 6.1862 - 7.1864; 3.Volgr. 1.1866; 3.1868 - 11.1876; 1.1877 - 7.1883; 9.1885 - 10.1885; 35.1886 - 155.1999 -,1999 -,1999
0006-8705,0006-8705,Bragantia,DOAJ,1998,Bragantia,issn_print,1.1941 -,1941 -,1941
0006-8705,0006-8705,Bragantia,DOAJ,1998,Bragantia,issn_print,Nachgewiesen 56.1997 -,1997 -,1997
1334-417X,0011-1643,Croatica Chemica Acta,DOAJ,1990,Croatica Chemica Acta,issn_e,Nachgewiesen 71.1998 -,1998 -,1998
0011-1643,0011-1643,Croatica Chemica Acta,DOAJ,1990,Croatica Chemica Acta,issn_print,Nachgewiesen 71.1998 -,1998 -,1998
0011-1643,0011-1643,Croatica Chemica Acta,DOAJ,1990,Croatica Chemica Acta,issn_print,28.1956 -,1956 -,1956
1879-0313,0011-393X,Current Therapeutic Research,DOAJ,2006,Current Therapeutic Research,issn_e,1.1959 - 73.2012,1959 -,1959
1879-0313,0011-393X,Current Therapeutic Research,DOAJ,2006,Current Therapeutic Research,issn_e,Nachgewiesen 52.1992 -,1992 -,1992
0011-393X,0011-393X,Current Therapeutic Research,DOAJ,2006,Current Therapeutic Research,issn_print,1.1959 - 73.2012,1959 -,1959
0011-393X,0011-393X,Current Therapeutic Research,DOAJ,2006,Current Therapeutic Research,issn_print,Nachgewiesen 52.1992 -,1992 -,1992
0011-5258,0011-5258,Dados: Revista de Ciências Sociais,DOAJ,1996,Dados: Revista de Ciências Sociais,issn_print,"Nr. 1.1966 - 22.1979; Vol. 23.1980,1 -vol. 59, n. 2 (apr./june 2016)",1966 -,1966
0011-5258,0011-5258,Dados: Revista de Ciências Sociais,DOAJ,1996,Dados: Revista de Ciências Sociais,issn_print,Nachgewiesen 39.1996 -,1996 -,1996
1678-4588,0011-5258,Dados: Revista de Ciências Sociais,DOAJ,1996,Dados: Revista de Ciências Sociais,issn_e,"Nr. 1.1966 - 22.1979; Vol. 23.1980,1 -vol. 59, n. 2 (apr./june 2016)",1966 -,1966
1678-4588,0011-5258,Dados: Revista de Ciências Sociais,DOAJ,1996,Dados: Revista de Ciências Sociais,issn_e,Nachgewiesen 39.1996 -,1996 -,1996
0012-7353,0012-7353,Dyna,DOAJ,2002,Dyna,issn_print,1.1933 - 10.1943[?]; 11.1944 - 28.1962 = Nr. 49-77; Nr. 78.1965 - 118.1994; 42.1995=Nr. 119 -,1965 -,1965
0012-7353,0012-7353,Dyna,DOAJ,2002,Dyna,issn_print,Nachgewiesen 125.1998 -,1998 -,1998
0013-6662,0013-6662,Emerita,DOAJ,1974,Emerita,issn_print,1.1933 - 5.1937; 7.1939 -,1939 -,1939
0013-6662,0013-6662,Emerita,DOAJ,1974,Emerita,issn_print,1.1933 - 5.1937; 7.1939 -,1939 -,1939
1988-8384,0013-6662,Emerita,DOAJ,1974,Emerita,issn_e,1.1933 - 5.1937; 7.1939 -,1939 -,1939
0013-970X,0013-970X,Építőanyag: Journal of Silicate Based and Composite Materials,DOAJ,2013,Építőanyag: Journal of Silicate Based and Composite Materials,issn_print,Nachgewiesen 54.2002 -,2002 -,2002
0013-970X,0013-970X,Építőanyag: Journal of Silicate Based and Composite Materials,DOAJ,2013,Építőanyag: Journal of Silicate Based and Composite Materials,issn_print,1.1949 - 63.2011,1949 -,1949
0013-9998,0013-9998,DIE ERDE: Journal of the Geographical Society of Berlin,DOAJ,2013,DIE ERDE: Journal of the Geographical Society of Berlin,issn_print,"1=[80.]1949/50,Okt. - 8=[87.]1956; 88.1957 -",1957 -,1957
0013-9998,0013-9998,DIE ERDE: Journal of the Geographical Society of Berlin,DOAJ,2013,DIE ERDE: Journal of the Geographical Society of Berlin,issn_print,"1=[80.]1949/50,Okt. - 8=[87.]1956; 88.1957 -",1957 -,1957
0013-9998,0013-9998,DIE ERDE: Journal of the Geographical Society of Berlin,DOAJ,2013,DIE ERDE: Journal of the Geographical Society of Berlin,issn_print,1.2003 -,2003 -,2003
0015-0010,0015-0010,Fennia: International Journal of Geography,DOAJ,2010,Fennia: International Journal of Geography,issn_print,1.1889 - 187.2009,1889 -,1889
0015-0010,0015-0010,Fennia: International Journal of Geography,DOAJ,2010,Fennia: International Journal of Geography,issn_print,Nachgewiesen 2001 -,2001 -,2001
0015-4040,0015-4040,Florida Entomologist,DOAJ,1994,Florida Entomologist,issn_print,4.1920 -,1920 -,1920
0017-0011,0017-0011,Ginekologia Polska,DOAJ,2007,Ginekologia Polska,issn_print,"1.1922 - 18.1939,6; 19.1948 -",1948 -,1948
1988-4214,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_e,1.1950 - 64.2013,1950 -,1950
1988-4214,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_e,Nachgewiesen 42.1991 -,1991 -,1991
0017-3495,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_print,1.1950 - 64.2013,1950 -,1950
0017-3495,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_print,Nachgewiesen 42.1991 -,1991 -,1991
0017-3916,0017-3916,"Greek, Roman, and Byzantine Studies",DOAJ,2004,"Greek, Roman, and Byzantine Studies",issn_print,1.1958 -,1958 -,1958
1601-5223,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_e,1.1920 -,1920 -,1920
1601-5223,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_e,1.1920 - 141.2004; damit Ersch. eingest.,1920 -,1920
0018-0661,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_print,1.1920 -,1920 -,1920
0018-0661,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_print,1.1920 - 141.2004; damit Ersch. eingest.,1920 -,1920
0018-215X,0018-215X,Hispania Sacra,DOAJ,2001,Hispania Sacra,issn_print,1.1948 - ; auch mit durchgehender Nr.-Zählung,1948 -,1948
0018-215X,0018-215X,Hispania Sacra,DOAJ,2001,Hispania Sacra,issn_print,1.1948 -   ; auch mit durchgehender Nr.-Zählung,1948 -,1948
1988-4265,0018-215X,Hispania Sacra,DOAJ,2001,Hispania Sacra,issn_e,1.1948 - ; auch mit durchgehender Nr.-Zählung,1948 -,1948
